a~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
b~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
c~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
d~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
e~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
f~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
g~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
h~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
u~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
g~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
s~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
gf~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
dg~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
fh~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
df~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
gf~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
daf~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
as~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
ff~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
~[Font: Name=Roboto, Size=20, Units=3, GdiCharSet=1, GdiVerticalFont=False]~False~
